# JMH 1.14.1 (released 50 days ago)
# VM version: JDK 1.8.0_101, VM 25.101-b13
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: -Xmx64g -Xms64g
# Warmup: 15 iterations, 30 s each
# Measurement: 10 iterations, 30 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: org.sample.LDBCBenchmark.ldbcq2
# Parameters: (neo4jLDBCStoreLocation = /mnt/ssds/ubuntu/ragadeeshu/ldbc300/sf300_p064_regular_utc_30.db/)

# Run progress: 0.00% complete, ETA 04:10:00
# Fork: 1 of 5
# Warmup Iteration   1: 33.487 s/op
# Warmup Iteration   2: 0.853 ?(99.9%) 0.126 s/op
# Warmup Iteration   3: 0.713 ?(99.9%) 0.125 s/op
# Warmup Iteration   4: 0.687 ?(99.9%) 0.084 s/op
# Warmup Iteration   5: 0.632 ?(99.9%) 0.113 s/op
# Warmup Iteration   6: 0.621 ?(99.9%) 0.081 s/op
# Warmup Iteration   7: 0.593 ?(99.9%) 0.086 s/op
# Warmup Iteration   8: 0.567 ?(99.9%) 0.080 s/op
# Warmup Iteration   9: 0.549 ?(99.9%) 0.069 s/op
# Warmup Iteration  10: 0.548 ?(99.9%) 0.063 s/op
# Warmup Iteration  11: 0.506 ?(99.9%) 0.065 s/op
# Warmup Iteration  12: 0.492 ?(99.9%) 0.068 s/op
# Warmup Iteration  13: 0.473 ?(99.9%) 0.052 s/op
# Warmup Iteration  14: 0.510 ?(99.9%) 0.064 s/op
# Warmup Iteration  15: 0.477 ?(99.9%) 0.057 s/op
Iteration   1: 0.499 ?(99.9%) 0.064 s/op
                 ldbcq2?p0.00:   ? 10?? s/op
                 ldbcq2?p0.50:   0.499 s/op
                 ldbcq2?p0.90:   0.605 s/op
                 ldbcq2?p0.95:   0.708 s/op
                 ldbcq2?p0.99:   1.227 s/op
                 ldbcq2?p0.999:  1.227 s/op
                 ldbcq2?p0.9999: 1.227 s/op
                 ldbcq2?p1.00:   1.227 s/op

Iteration   2: 0.468 ?(99.9%) 0.061 s/op
                 ldbcq2?p0.00:   0.244 s/op
                 ldbcq2?p0.50:   0.468 s/op
                 ldbcq2?p0.90:   0.602 s/op
                 ldbcq2?p0.95:   0.660 s/op
                 ldbcq2?p0.99:   1.246 s/op
                 ldbcq2?p0.999:  1.246 s/op
                 ldbcq2?p0.9999: 1.246 s/op
                 ldbcq2?p1.00:   1.246 s/op

Iteration   3: 0.493 ?(99.9%) 0.048 s/op
                 ldbcq2?p0.00:   0.358 s/op
                 ldbcq2?p0.50:   0.498 s/op
                 ldbcq2?p0.90:   0.580 s/op
                 ldbcq2?p0.95:   0.627 s/op
                 ldbcq2?p0.99:   1.111 s/op
                 ldbcq2?p0.999:  1.111 s/op
                 ldbcq2?p0.9999: 1.111 s/op
                 ldbcq2?p1.00:   1.111 s/op

Iteration   4: 0.454 ?(99.9%) 0.054 s/op
                 ldbcq2?p0.00:   0.213 s/op
                 ldbcq2?p0.50:   0.454 s/op
                 ldbcq2?p0.90:   0.553 s/op
                 ldbcq2?p0.95:   0.700 s/op
                 ldbcq2?p0.99:   1.008 s/op
                 ldbcq2?p0.999:  1.008 s/op
                 ldbcq2?p0.9999: 1.008 s/op
                 ldbcq2?p1.00:   1.008 s/op

Iteration   5: 0.450 ?(99.9%) 0.055 s/op
                 ldbcq2?p0.00:   0.044 s/op
                 ldbcq2?p0.50:   0.445 s/op
                 ldbcq2?p0.90:   0.573 s/op
                 ldbcq2?p0.95:   0.655 s/op
                 ldbcq2?p0.99:   1.015 s/op
                 ldbcq2?p0.999:  1.015 s/op
                 ldbcq2?p0.9999: 1.015 s/op
                 ldbcq2?p1.00:   1.015 s/op

Iteration   6: 0.463 ?(99.9%) 0.057 s/op
                 ldbcq2?p0.00:   0.217 s/op
                 ldbcq2?p0.50:   0.458 s/op
                 ldbcq2?p0.90:   0.570 s/op
                 ldbcq2?p0.95:   0.715 s/op
                 ldbcq2?p0.99:   1.076 s/op
                 ldbcq2?p0.999:  1.076 s/op
                 ldbcq2?p0.9999: 1.076 s/op
                 ldbcq2?p1.00:   1.076 s/op

Iteration   7: 0.462 ?(99.9%) 0.049 s/op
                 ldbcq2?p0.00:   0.207 s/op
                 ldbcq2?p0.50:   0.455 s/op
                 ldbcq2?p0.90:   0.562 s/op
                 ldbcq2?p0.95:   0.620 s/op
                 ldbcq2?p0.99:   1.010 s/op
                 ldbcq2?p0.999:  1.010 s/op
                 ldbcq2?p0.9999: 1.010 s/op
                 ldbcq2?p1.00:   1.010 s/op

Iteration   8: 0.479 ?(99.9%) 0.053 s/op
                 ldbcq2?p0.00:   0.226 s/op
                 ldbcq2?p0.50:   0.479 s/op
                 ldbcq2?p0.90:   0.595 s/op
                 ldbcq2?p0.95:   0.731 s/op
                 ldbcq2?p0.99:   0.915 s/op
                 ldbcq2?p0.999:  0.915 s/op
                 ldbcq2?p0.9999: 0.915 s/op
                 ldbcq2?p1.00:   0.915 s/op

Iteration   9: 0.450 ?(99.9%) 0.048 s/op
                 ldbcq2?p0.00:   ? 10?? s/op
                 ldbcq2?p0.50:   0.465 s/op
                 ldbcq2?p0.90:   0.560 s/op
                 ldbcq2?p0.95:   0.606 s/op
                 ldbcq2?p0.99:   0.698 s/op
                 ldbcq2?p0.999:  0.698 s/op
                 ldbcq2?p0.9999: 0.698 s/op
                 ldbcq2?p1.00:   0.698 s/op

Iteration  10: 0.456 ?(99.9%) 0.061 s/op
                 ldbcq2?p0.00:   0.090 s/op
                 ldbcq2?p0.50:   0.460 s/op
                 ldbcq2?p0.90:   0.581 s/op
                 ldbcq2?p0.95:   0.617 s/op
                 ldbcq2?p0.99:   1.118 s/op
                 ldbcq2?p0.999:  1.118 s/op
                 ldbcq2?p0.9999: 1.118 s/op
                 ldbcq2?p1.00:   1.118 s/op


# Run progress: 5.00% complete, ETA 04:24:09
# Fork: 2 of 5
# Warmup Iteration   1: 15.142 s/op
# Warmup Iteration   2: 0.860 ?(99.9%) 0.169 s/op
# Warmup Iteration   3: 0.789 ?(99.9%) 0.107 s/op
# Warmup Iteration   4: 0.676 ?(99.9%) 0.098 s/op
# Warmup Iteration   5: 0.675 ?(99.9%) 0.135 s/op
# Warmup Iteration   6: 0.630 ?(99.9%) 0.112 s/op
# Warmup Iteration   7: 0.598 ?(99.9%) 0.065 s/op
# Warmup Iteration   8: 0.574 ?(99.9%) 0.093 s/op
# Warmup Iteration   9: 0.570 ?(99.9%) 0.102 s/op
# Warmup Iteration  10: 0.536 ?(99.9%) 0.091 s/op
# Warmup Iteration  11: 0.505 ?(99.9%) 0.097 s/op
# Warmup Iteration  12: 0.516 ?(99.9%) 0.063 s/op
# Warmup Iteration  13: 0.493 ?(99.9%) 0.070 s/op
# Warmup Iteration  14: 0.537 ?(99.9%) 0.113 s/op
# Warmup Iteration  15: 0.472 ?(99.9%) 0.081 s/op
